kod#,"""Teensy"" pin",Chip pin,ADC,ADCChan,Timer,TimChan,AF0,Peripheral1,AF1,Peripheral2,AF2
0,D0/RX6,PC7,,,3,2,2,USART6_RX,7,SDIO_D7,
1,D1/TX6,PC6,,,3,1,2,USART6_TX,7,SDIO_D6,
2,D2,PC8,,,3,3,2,,,SDIO_D0,
3,D3,PB8,,,4,3,2,CAN1_RX,,SDIO_D4,
4,D4,PB9,,,4,4,2,CAN1_TX,,SDIO_D5,
5,D5,PC9,,,3,4,2,,,SDIO_D1,
6,D6,PB3,,,2,2,1,SPI1_SCK,,,
7,D7/RX3,PC11,,,,,,USART3_RX,,SDIO_D3,
8,D8/TX3,PC10,,,,,,USART3_TX,,SDIO_D2,
9,D9/RX2,PA3,1,3,5,4,2,USART2_RX,,,
10,D10/TX2,PA2,1,2,5,3,2,USART2_TX,,,
11,D11/MOSI1,PA7,1,7,3,2,2,SPI1_MOSI,,,
12,D12/MISO1,PA6,1,6,3,1,2,SPI1_MISO,,,
13,D13/SCK1,PA5,1,5,2,1,1,SPI1_SCK,,DAC_OUT2,
14,A0,PA0,1,0,5,1,2,,,,
15,A1,PA1,1,1,5,2,2,,,,
16,A2,PB0,1,8,3,3,2,,,,
17,A3,PB1,1,9,3,4,2,,,,
18,A4/SDA1,PB7,,,4,2,2,I2C1_SDA,,USART1_RX,
19,A5/SCL1,PB6,,,4,1,2,I2C1_SCL,,USART1_TX,
20,A6,PA4,1,4,,,,,,DAC_OUT1,
21,A7,PC0,1,10,,,,,,,
22,A8,PC1,1,11,,,,,,,
23,A9,PC2,1,12,,,,,,,
24,Bootloader,PA9,,,1,2,1,USART1_TX,7,,
25,Bootloader,PA10,,,1,3,1,USART1_RX,7,,
26,,PA8,,,1,1,1,,,,
27,,PA11,,,1,4,1,,,,
28,,PA12,,,,,,,,,
29,,PA13,,,,,,,,,
30,,PA14,,,,,,,,,
31,,PA15,,,2,1,1,,,,
32,,PB2,,,,,,,,,
33,,PB4,,,3,1,2,SPI3_MISO,,SPI1_MISO,
34,,PB5,,,3,2,2,SPI3_MOSI,,CAN2_RX,
35,,PB10,,,2,3,2,I2C2_SCL,,,
36,,PB11,,,2,4,2,I2C2_SDA,,,
37,,PB12,,,,,,CAN2_RX,,,
38,,PB13,,,,,,CAN2_TX,,,
39,,PB14,,,,,,SPI2_MISO,,,
40,,PB15,,,,,,SPI2_MOSI,,,
41,,PC3,1,13,,,,,,,
42,,PC4,1,14,,,,,,,
43,,PC5,12,15,,,,,,,
44,,PC12,,,,,,UART5_TX,,SDIO_CK,
45,,PC13,,,,,,,,,
46,,PC14,,,,,,,,,
47,,PC15,,,,,,,,,
