kod#,Chip pin,ADC,ADCChan,Timer,TimChan,AF0,Peripheral1,AF1,Peripheral2,AF2,BOARD,DMA
0,PA0,1,0,5,1,2,,,,,IN,
1,PA1,1,1,5,2,2,,,,,IN,
2,PA2,1,2,5,3,2,,,,,IN,
3,PA3,1,3,5,4,2,,,,,IN,
4,PA4,1,4,,,,,,,,USER_AN,
5,PA5,1,5,2,1,1,,,,,USER_AN,
6,PA6,1,6,13,1,9,,,,,OUT,
7,PA7,1,7,14,2,9,,,,,OUT,
8,PA8,,,1,1,1,,,,,,
9,PA9,,,1,2,1,USART1_TX,7,,,BUS,DMA2_S7
10,PA10,,,1,3,1,USART1_RX,7,,,BUS,DMA2_S5
11,PA11,,,1,4,1,,,,,,
12,PA12,,,,,,,,,,,
13,PA13,,,,,,,,,,,
14,PA14,,,,,,,,,,,
15,PA15,,,2,1,1,,,,,OUT,
16,PB0,1,8,3,3,2,,,,,OUT,
17,PB1,1,9,3,4,2,,,,,OUT,
18,PB3,,,2,2,1,,,,,OUT,
19,PB4,,,3,1,2,,,,,OUT,
20,PB5,,,3,2,2,,,,,OUT,
21,PB6,,,4,1,2,,,I2C1_SCL,,USER_I2C,
22,PB7,,,4,2,2,,,I2C1_SDA,,USER_I2C,
23,PB8,,,10,1,3,,,,,OUT,
24,PB9,,,11,1,3,,,,,OUT,
25,PB10,,,2,3,1,,,,,OUT,
26,PB12,,,2,4,1,,,,,OUT,
27,PB13,,,,,,,,SPI2_SCK,,,
28,PB14,,,12,1,9,,,,,OUT,
29,PB15,,,12,2,9,,,,,OUT,
30,PC0,1,10,,,,,,,,USER_AN,
31,PC1,1,11,,,,,,,,USER_AN,
32,PC2,1,12,,,,,,SPI2_MISO,,,
33,PC3,1,13,,,,,,SPI2_MOSI,,,
34,PC4,1,14,,,,,,,,USER_AN,
35,PC5,1,15,,,,,,,,USER_AN,
36,PC6,,,8,1,3,,,,,IN,
37,PC7,,,8,2,3,,,,,IN,
38,PC8,,,8,3,3,,,,,IN,
39,PC9,,,8,4,3,,,,,IN,
40,PC10,,,,,,USART3_TX,7,,,BOOT,DMA1_S3
41,PC11,,,,,,USART3_RX,7,,,BOOT,DMA1_S1
42,PC12,,,,,,,,,,,
43,PC13,,,,,,,,,,,
44,PC14,,,,,,,,,,,
45,PC15,,,,,,,,,,,
46,PD0,,,,,,,,,,LED,
47,PD1,,,,,,,,,,LED,
48,PD2,,,,,,,,,,RC,
49,PD3,,,,,,,,,,RC,
50,PD4,,,,,,,,,,RC,
51,PD5,,,,,,USART2_TX,,,,OL,DMA1_S6
52,PD6,,,,,,USART2_RX,,,,OL,DMA1_S5
53,PD7,,,,,,,,,,RC,
54,PD8,,,,,,,,,,RC,
55,PD9,,,,,,,,,,RC,
56,PD10,,,,,,,,,,,
57,PD11,,,,,,,,,,,
58,PD12,,,4,1,2,,,,,IN,
59,PD13,,,4,2,2,,,,,IN,
60,PD14,,,4,3,2,,,,,IN,
61,PD15,,,4,4,2,,,,,IN,
62,PE0,,,,,,,,,,,
63,PE1,,,,,,,,,,,
64,PE2,,,,,,,,,,,
65,PE3,,,,,,,,,,,
66,PE4,,,,,,,,,,,
67,PE5,,,9,1,3,,,,,OUT,
68,PE6,,,9,2,3,,,,,OUT,
69,PE7,,,,,,UART5_RX,,,,RASPI,DMA1_S0
70,PE8,,,,,,UART5_TX,,,,RASPI,DMA1_S7
71,PE9,,,1,1,1,,,,,IN,
72,PE10,,,,,,,,,,,
73,PE11,,,1,2,1,,,,,IN,
74,PE12,,,,,,,,,,,
75,PE13,,,1,3,1,,,,,IN,
76,PE14,,,1,4,1,,,,,IN,
77,PE15,,,,,,,,,,,
